date,temp_mean,temp_min,temp_max,rain_mm,pressure_early,pressure_late,wind_mean,wind_max,wind_dir,sun_hours,sunrise,sunset,daylength,daylength_difference,at_start,at_end,nt_start,nt_end,ct_start,ct_end,sn_time,sn_mil_km
2012-01-01,2.5,3,3.4,0.3,988,991,6.7,30,SSW,3.56,08:43:00,15:48:00,0 days 07:04:53,,06:22:00,18:09:00,07:08:00,17:24:00,07:56:00,16:35:00,12:16:00,147.102
2012-01-02,-0.1,-0.1,3.4,6.6,960,991,7.8,29,SSW,,08:43:00,15:49:00,0 days 07:06:20,,06:22:00,18:10:00,07:08:00,17:25:00,07:56:00,16:36:00,12:16:00,147.1
2012-01-03,1.6,0.5,3.2,6.4,960,991,8.8,38,W,,08:43:00,15:51:00,0 days 07:07:55,,06:22:00,18:11:00,07:08:00,17:26:00,07:56:00,16:37:00,12:17:00,147.098
2012-01-04,1.4,0.5,3.1,15.4,1000,980,9.2,33,WSW,0,08:42:00,15:52:00,0 days 07:09:37,,06:22:00,18:12:00,07:07:00,17:27:00,07:56:00,16:38:00,12:17:00,147.097
2012-01-05,0.7,-1.4,1.9,2.7,993,1015,7.3,31,W,0.78,08:42:00,15:53:00,0 days 07:11:26,,06:22:00,18:13:00,07:07:00,17:28:00,07:56:00,16:40:00,12:17:00,147.097
2012-01-06,2.3,-1.4,7.6,1.4,1007 ,1019,5.6,27,SSW,0.48,08:41:00,15:55:00,0 days 07:13:23,,06:22:00,18:14:00,07:07:00,17:29:00,07:55:00,16:41:00,12:18:00,147.098
2012-01-07,3.6,-1.3,5.9,2.6,1010,1016,9.8,30,WSW,0.15,08:41:00,15:56:00,0 days 07:15:26,,06:21:00,18:16:00,07:07:00,17:30:00,07:55:00,16:42:00,12:18:00,147.1
2012-01-08,5.5,3.4,9.5,1.4,1020,1016,7.3,32,SSW,0,08:40:00,15:58:00,0 days 07:17:37,,06:21:00,18:17:00,07:06:00,17:32:00,07:54:00,16:44:00,12:19:00,147.103
2012-01-09,4.3,4.5,7.9,0.1,1019 ,1022,8,36,SSW,3.91,08:39:00,15:59:00,0 days 07:19:54,,06:21:00,18:18:00,07:06:00,17:33:00,07:54:00,16:45:00,12:19:00,147.107
2012-01-10,6.4,0.2,8.7,0.2,1021,1019,9.5,32,SSW,0.37,08:39:00,16:01:00,0 days 07:22:17,,06:20:00,18:19:00,07:05:00,17:34:00,07:53:00,16:46:00,12:20:00,147.111
2012-01-11,6.1,2.5,10.5,6.3,1024 ,1010,10.8,47,SSW,1.92,08:38:00,16:03:00,0 days 07:24:47,,06:20:00,18:21:00,07:05:00,17:36:00,07:52:00,16:48:00,12:20:00,147.117
2012-01-12,4.8,2.7,5.1,2.0,1019,1027,7.8,36,WSW,1.73,08:37:00,16:04:00,0 days 07:27:23,,06:19:00,18:22:00,07:04:00,17:37:00,07:52:00,16:49:00,12:20:00,147.123
2012-01-13,-1,-2.4,1.4,0.0,1034,1032,0.2,7,SSW,4.94,08:36:00,16:06:00,0 days 07:30:04,,06:19:00,18:23:00,07:03:00,17:39:00,07:51:00,16:51:00,12:21:00,147.131
2012-01-14,-1.8,-5.6,1.2,0.0,1025,1024,0.1,2,S,4.28,08:35:00,16:08:00,0 days 07:32:52,,06:18:00,18:25:00,07:03:00,17:40:00,07:50:00,16:53:00,12:21:00,147.139
2012-01-15,-5,-8.8,-1.5,0.0,1024,1024,0.1,4,NNE,2.15,08:34:00,16:10:00,0 days 07:35:45,,06:17:00,18:26:00,07:02:00,17:41:00,07:49:00,16:54:00,12:22:00,147.149
2012-01-16,-5.1,-9.9,1.2,0.0,1024,1021,1.2,17,S,5.78,08:33:00,16:11:00,0 days 07:38:44,,06:17:00,18:28:00,07:01:00,17:43:00,07:48:00,16:56:00,12:22:00,147.159
2012-01-17,2.4,-9.9,9.5,0.0,1020,1013,3.5,32,S,3.58,08:32:00,16:13:00,0 days 07:41:48,,06:16:00,18:29:00,07:00:00,17:45:00,07:47:00,16:58:00,12:22:00,147.169
2012-01-18,4.2,0.1,6.6,2.3,1010,1010,10.6,37,SSW,4.65,08:30:00,16:15:00,0 days 07:44:57,,06:15:00,18:31:00,06:59:00,17:46:00,07:46:00,16:59:00,12:23:00,147.181
2012-01-19,0.1,0.2,2.4,6.7,1007,1006,6.8,28,SSW,0.86,08:29:00,16:17:00,0 days 07:48:11,,06:14:00,18:32:00,06:58:00,17:48:00,07:45:00,17:01:00,12:23:00,147.193
2012-01-20,1.8,-1.5,6.8,4.8,1011,1001,4.9,25,SSW,0,08:28:00,16:19:00,0 days 07:51:29,,06:13:00,18:34:00,06:57:00,17:49:00,07:44:00,17:03:00,12:23:00,147.206
2012-01-21,3,-0.5,4.2,10.5,996,1001,12.7,41,WSW,0.48,08:26:00,16:21:00,0 days 07:54:52,,06:12:00,18:35:00,06:56:00,17:51:00,07:43:00,17:05:00,12:23:00,147.219
2012-01-22,2,0.6,4.6,1.9,1000,1008,6.8,26,WSW,2.44,08:25:00,16:23:00,0 days 07:58:19,,06:11:00,18:37:00,06:55:00,17:53:00,07:42:00,17:06:00,12:24:00,147.233
2012-01-23,0.3,1.1,2.3 ,0.0,1010,1016,5.3,23,SW,0.62,08:23:00,16:25:00,0 days 08:01:51,,06:10:00,18:38:00,06:54:00,17:54:00,07:40:00,17:08:00,12:24:00,147.247
2012-01-24,0.7,-3,8.9,0.8,1012,1010,1.2,16,ESE,0.05,08:22:00,16:27:00,0 days 08:05:26,,06:09:00,18:40:00,06:53:00,17:56:00,07:39:00,17:10:00,12:24:00,147.262
2012-01-25,5.3,-2.3,2.4,2.4,1000,995,7.8,35,SSE,0,08:20:00,16:29:00,0 days 08:09:05,,06:08:00,18:42:00,06:52:00,17:58:00,07:38:00,17:12:00,12:24:00,147.277
2012-01-26,-0.8,-3.5,9.9,0.0,999,1001,0.4,9,SE,2.26,08:19:00,16:31:00,0 days 08:12:48,,06:07:00,18:43:00,06:51:00,18:00:00,07:36:00,17:14:00,12:25:00,147.293
2012-01-27,-0.1,-3.2,2,0.0,1009,1023,0.6,11,SW,3.53,08:17:00,16:34:00,0 days 08:16:34,,06:06:00,18:45:00,06:49:00,18:01:00,07:35:00,17:16:00,12:25:00,147.309
2012-01-28,0,-4.2,2.9,0.0,1030,1032,0.1,5,SW,1.67,08:15:00,16:36:00,0 days 08:20:23,,06:04:00,18:47:00,06:48:00,18:03:00,07:33:00,17:18:00,12:25:00,147.326
2012-01-29,0.2,-4,4.9,0.0,1031,1030,4.8,28,ESE,5.6,08:14:00,16:38:00,0 days 08:24:16,,06:03:00,18:49:00,06:46:00,18:05:00,07:32:00,17:20:00,12:25:00,147.344
2012-01-30,0.6,0.2,3.5,0.0,1029,1029,6.1,25,ESE,4.21,08:12:00,16:40:00,0 days 08:28:11,,06:01:00,18:50:00,06:45:00,18:07:00,07:30:00,17:21:00,12:25:00,147.362
2012-01-31,0.7,-1.6,3.4,0.0,1031,1036,5.8,22,ESE,3.68,08:10:00,16:42:00,0 days 08:32:09,,06:00:00,18:52:00,06:43:00,18:09:00,07:29:00,17:23:00,12:26:00,147.381
2012-02-01,-2,-2.1,3.5,0.0,1038,1039,3,19,SSE,7.03,08:08:00,16:44:00,0 days 08:36:10,,05:59:00,18:54:00,06:42:00,18:10:00,07:27:00,17:25:00,12:26:00,147.4
2012-02-02,-4.1,-7.5,1.6,0.0,1038,1036,9.9,11,SE,5.38,08:06:00,16:46:00,0 days 08:40:14,,05:57:00,18:56:00,06:40:00,18:12:00,07:25:00,17:27:00,12:26:00,147.42
2012-02-03,-5.3,-11.8,4.8,0.0,1037,1034,0.7,13,SSW,7.04,08:04:00,16:49:00,0 days 08:44:20,,05:56:00,18:57:00,06:39:00,18:14:00,07:23:00,17:29:00,12:26:00,147.441
2012-02-04,-1.1,-11.4,5.2,0.0,1024,1019,3.7,30,SSE,0,08:02:00,16:51:00,0 days 08:48:28,,05:54:00,18:59:00,06:37:00,18:16:00,07:22:00,17:31:00,12:26:00,147.463
2012-02-05,2.2,-1.4,4.4,0.0,1022,1028,2.4,16,SSW,1.31,08:00:00,16:53:00,0 days 08:52:39,,05:52:00,19:01:00,06:35:00,18:18:00,07:20:00,17:33:00,12:26:00,147.486
2012-02-06,-0.6,-3,4.6,0.0,1034,1037,0.1,4,SW,5.97,07:58:00,16:55:00,0 days 08:56:52,,05:51:00,19:03:00,06:34:00,18:20:00,07:18:00,17:35:00,12:26:00,147.509
2012-02-07,-3.9,-10,3.3,0.0,1039,1038,1.3,16,SW,7.45,07:56:00,16:57:00,0 days 09:01:06,,05:49:00,19:05:00,06:32:00,18:22:00,07:16:00,17:37:00,12:26:00,147.533
2012-02-08,0.1,-9.5,4.8,7.1,1035,1033,5.5,24,S,0.82,07:54:00,17:00:00,0 days 09:05:23,,05:47:00,19:07:00,06:30:00,18:24:00,07:14:00,17:39:00,12:26:00,147.558
2012-02-09,4.8,1.5,6.8,0.0,1033,1034,1.3,17,S,0,07:52:00,17:02:00,0 days 09:09:41,,05:45:00,19:09:00,06:28:00,18:26:00,07:12:00,17:41:00,12:26:00,147.584
2012-02-10,2,-2.7,5.9,0.1,1031,1030,2.6,17,SW,0.04,07:50:00,17:04:00,0 days 09:14:01,,05:43:00,19:11:00,06:26:00,18:27:00,07:10:00,17:43:00,12:26:00,147.611
2012-02-11,4.2,-0.7,5.7,1.4,1032,1035,0.8,8,SSE,0.29,07:48:00,17:06:00,0 days 09:18:22,,05:42:00,19:12:00,06:25:00,18:29:00,07:08:00,17:46:00,12:27:00,147.638
2012-02-12,2.6,-1.3 ,5.9,0.8,1036,1032,2.5,14,SW,3.01,07:46:00,17:08:00,0 days 09:22:45,,05:40:00,19:14:00,06:23:00,18:31:00,07:06:00,17:48:00,12:26:00,147.666
2012-02-13,5.1,-1.2,8,0.0,1026,1029,6.2,27,WSW,0.13,07:43:00,17:10:00,0 days 09:27:10,,05:38:00,19:16:00,06:21:00,18:33:00,07:04:00,17:50:00,12:26:00,147.695
2012-02-14,6.1,2.5,8.7,1.0,1025,1023,7.5,30,W,0,07:41:00,17:13:00,0 days 09:31:35,,05:36:00,19:18:00,06:19:00,18:35:00,07:02:00,17:52:00,12:26:00,147.725
2012-02-15,6.2,5.6,8.4,0.1,1024,1025,7.6,27,W,0.23,07:39:00,17:15:00,0 days 09:36:02,,05:34:00,19:20:00,06:17:00,18:37:00,07:00:00,17:54:00,12:26:00,147.755
