date,temp_mean,temp_min,temp_max,rain_mm,pressure_early,pressure_late,wind_mean,wind_max,wind_dir,sun_hours
2011-12-01,3.6,-0.4,4.6,0.0,995,1004,4.1,36,SSW,2.7
2011-12-02,2.6,-1.5,7.5,5.5,1003,983,6.5,36,SSW,1.8
2011-12-03,2.4,0.4,4.4,6.0,986,988,9.5,46,SSW,0.75
2011-12-04,-1.6,-0.9,0.4,3.7,988,992,4.5,22,SSW,1.66
2011-12-05,-1.6,-4.2,0.2,2.9,994,998,2.8,17,SSW,1.08
2011-12-06,-2.7,-2.8,1.2,5.1,998,992,"3,7",19,WSW,2.92
2011-12-07,0.2,-5.3,3.8,8.6,989,1005,6.1,39,SSW,0.15
2011-12-08,2.4,-0.8,6.7,14.6,979,981,15.9 ,62,SSW,0.72
2011-12-09,-0.8,0.9,1.4,2.6,1000,1007,6.7,34,WSW,0.75
2011-12-10,-3.2,-8,3.5,0.5,1008,1001,1,10,SSE,1.46
2011-12-11,0.1,-6.2,3.6,0.0,996,992,2,15,SSW,2.08
2011-12-12,0.8,-3,5.1,0.2,991,972,8.1,41,SSW,3.65
2011-12-13,1.9,-0.1 ,4.5,6.9,964,960,12.2,41,SSW,2.39
2011-12-14,2.8,-0.1,5.7,0.1,972,982,10.8,31,SSW,4.44
2011-12-15,-1.3,1.2,2.5,0.0,989,991,2.2,14,SSW,4.8
2011-12-16,-4.9,-8.3,-0.4,0.9,989,1000,0.1,5,NNE,0
2011-12-17,-3,-8.4,0.5,2.3,1006,1012,1.2,13,S,0.97
2011-12-18,-4.4,-7.9,-0.3,0.3,1015,1014,0.3,7,S,0.85
2011-12-19,-3.2,-8.9,3.9,4.0,1007,1002,2.3,22,SSW,0
2011-12-20,0.2,-4.2,2.2,4.3,1010,1011,3.8,22,SSW,0.04
2011-12-21,4.8,0.1,10.5,1.3,1010,1008,5.8,31,SSW,0.03
2011-12-22,9,1.1,10.5,0.3,1012,1004,11,32,SSW,0
2011-12-23,4.2,0.2,4.4,0.0,1007,1014,6.3,33,SSW,3.49
